loss,val_loss,accuracy,val_accuracy
1.5120710134506226,0.8710586428642273,0.5626180171966553,0.7285242080688477
0.9329614043235779,0.8096338510513306,0.7220736145973206,0.7483479976654053
0.8023564219474792,0.7181838154792786,0.7627438902854919,0.7830396294593811
0.7279773354530334,0.6698192358016968,0.782489001750946,0.7979074716567993
0.6677634119987488,0.6604181528091431,0.8016834259033203,0.7968061566352844
0.6165622472763062,0.6330272555351257,0.8178099393844604,0.8127753138542175
0.6123995184898376,0.5987502932548523,0.816629946231842,0.8199338912963867
0.5922906994819641,0.5727640986442566,0.82740718126297,0.8287444710731506
0.5648179054260254,0.5616611838340759,0.8343297839164734,0.8325991034507751
0.56468665599823,0.5558632612228394,0.8360604047775269,0.83370041847229
0.538749098777771,0.5499002933502197,0.8410950303077698,0.8298457860946655
0.5231016874313354,0.5459977984428406,0.8477815985679626,0.8370044231414795
0.5130153298377991,0.5435654520988464,0.8473882675170898,0.8419603705406189
0.5049117803573608,0.5620620846748352,0.8491189479827881,0.8298457860946655
0.5003232955932617,0.5266801118850708,0.8522655963897705,0.8507709503173828
0.49926885962486267,0.5467982292175293,0.8526589274406433,0.8397576808929443
0.4791194200515747,0.5085764527320862,0.8612334728240967,0.8524228930473328
0.4641968607902527,0.4544445276260376,0.863672137260437,0.8612334728240967
0.4647957682609558,0.5103036165237427,0.8652454614639282,0.8496695756912231
0.44950932264328003,0.5056042671203613,0.8661894202232361,0.850220263004303
0.4450942575931549,0.475169837474823,0.8723253607749939,0.859581470489502
0.44121140241622925,0.48638755083084106,0.869257390499115,0.850220263004303
0.4481925666332245,0.4768174886703491,0.8720893859863281,0.8612334728240967
0.4427383840084076,0.45742514729499817,0.8721680045127869,0.8628854751586914
0.43373537063598633,0.4327246844768524,0.8750786781311035,0.8744493126869202
0.42023247480392456,0.47114643454551697,0.8756293058395386,0.8590308427810669
0.42619338631629944,0.45496419072151184,0.8753146529197693,0.8601321578025818
0.41592279076576233,0.4422488212585449,0.8775959610939026,0.8694933652877808
0.40313464403152466,0.42750096321105957,0.8819226026535034,0.8755506873130798
0.4112372100353241,0.41513684391975403,0.8797985911369324,0.8838105797767639
0.41395822167396545,0.4561153054237366,0.8791692852973938,0.8606828451156616
